Category,Film,Nominee,Winner,Year,Rating_IMDB,Release_date,Rating_rtaudience,Rating_rtcritic,Oscarstat_totalnoms,Release_Q1,Release_Q2,Release_Q3,Release_Q4,Nom_BAFTA,Win_BAFTA,Nom_GoldenGlobe_comedy-leadacting,Win_GoldenGlobe_comedy-leadacting,Nom_GoldenGlobe_drama-leadacting,Win_GoldenGlobe_drama-leadacting,Nom_GoldenGlobe_supportingacting,Win_GoldenGlobe_supportingacting,Oscarstat_previousnominations_acting,Oscarstat_previouswins_acting,Oscarstat_previousnominee_acting,Oscarstat_previouswinner_acting,Nom_Oscar_bestfilm,Birthyear,Age,Age_[0-25],Age_[25-35],Age_[35-45],Age_[45-55],Age_[55-65],Age_[65-75],Age_[75+],Genre_action,Genre_adventure,Genre_biography,Genre_crime,Genre_comedy,Genre_drama,Genre_horror,Genre_fantasy,Genre_sci-fi,Genre_mystery,Genre_music,Genre_romance,Genre_history,Genre_thriller,Genre_war,Genre_sport,Genre_family,Genre_filmnoir,Genre_western,MPAA_rating,MPAA_G,MPAA_PG,MPAA_PG-13,MPAA_R,MPAA_NC-17,Nowin_Criticschoice,Win_Criticschoice,Nonom_Criticschoice,Nom_Criticschoice,Nowin_SAG_acting,Win_SAG_acting,Nonom_SAG_acting,Nom_SAG_acting,Nowin_SAG_bestcast,Win_SAG_bestcast,Nonom_SAG_bestcast,Nom_SAG_bestcast,Female,Total Nominations Other Shows,Total Wins Other Shows,Win_GoldenGlobe_bestdirector,Win_DGA,Nom_GoldenGlobe_bestdirector,Nom_DGA,Oscarstat_previouswins_bestdirector,Oscarstat_previousnominations_bestdirector,Nom_Oscar_bestdirector,Nom_GoldenGlobe_bestcomedy,Nom_GoldenGlobe_bestdrama,Win_GoldenGlobe_bestcomedy,Win_GoldenGlobe_bestdrama,Nowin_PGA,Win_PGA,Nonom_PGA,Nom_PGA,Unnamed: 0,year_ceremony,category,film,winner,year_film,domestic_gross,international_gross,budget,net_revenue
Actor,A Beautiful Mind,Russell Crowe,0,2002,8.2,1/4/02,93,75,8,1,0,0,0,1,1,0,0,1,1,0,0,2,1,1,1,1,1964,38,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PG-13,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,5,4,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,I Am Sam,Sean Penn,0,2002,7.6,1/25/02,87,34,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1960,42,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PG-13,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,Ali,Will Smith,0,2002,6.8,12/25/01,65,67,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1968,34,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,R,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,In the Bedroom,Tom Wilkinson,0,2002,7.5,2/8/02,81,93,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1948,54,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,The Pianist,Adrien Brody,1,2003,8.5,3/28/03,95,96,7,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1973,30,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,R,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,Adaptation.,Nicolas Cage,0,2003,7.7,2/14/03,85,91,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1964,39,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,The Quiet American,Michael Caine,0,2003,7.1,3/7/03,73,87,1,1,0,0,0,1,0,0,0,1,0,0,0,5,2,1,1,0,1933,70,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,R,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,Gangs of New York,Daniel Day-Lewis,0,2003,7.5,12/20/02,81,75,9,0,0,0,1,1,1,0,0,1,0,0,0,2,1,1,1,1,1957,46,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,4,3,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,About Schmidt,Jack Nicholson,0,2003,7.2,1/3/03,74,85,2,1,0,0,0,1,0,0,0,1,1,0,0,11,3,1,1,0,1937,66,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,Mystic River,Sean Penn,1,2004,8,10/15/03,89,87,6,0,0,0,1,0,0,0,0,1,1,0,0,3,0,1,0,1,1960,44,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,Pirates of the Caribbean: The Curse of the Black Pearl,Johnny Depp,0,2004,8,7/9/03,86,79,5,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1963,41,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,PG-13,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,House of Sand and Fog,Ben Kingsley,0,2004,7.6,1/9/04,83,74,3,1,0,0,0,0,0,0,0,1,0,0,0,3,1,1,1,0,1943,61,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,Cold Mountain,Jude Law,0,2004,7.2,12/25/03,77,71,5,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1972,32,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,R,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,Lost in Translation,Bill Murray,0,2004,7.8,10/3/03,86,95,4,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1950,54,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,Ray,Jamie Foxx,1,2005,7.7,10/29/04,87,81,6,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1967,38,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,PG-13,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,5,4,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,Hotel Rwanda,Don Cheadle,0,2005,8.1,2/4/05,94,90,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1964,41,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,PG-13,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,Finding Neverland,Johnny Depp,0,2005,7.7,12/17/04,87,83,7,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1963,42,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,PG,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,The Aviator,Leonardo DiCaprio,0,2005,7.5,12/25/04,79,87,11,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,1974,31,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,PG-13,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,Million Dollar Baby,Clint Eastwood,0,2005,8.1,1/28/05,90,91,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1930,75,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,PG-13,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,Capote,Philip Seymour Hoffman,1,2006,7.4,2/3/06,81,90,5,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1967,39,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,5,4,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,Hustle and Flow,Terrence Howard,0,2006,7.4,7/22/05,82,82,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1969,37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,Brokeback Mountain,Heath Ledger,0,2006,7.7,1/13/06,82,87,8,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1979,27,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,R,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,Walk the Line,Joaquin Phoenix,0,2006,7.9,11/18/05,90,82,5,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1974,32,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,PG-13,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,"Good Night, and Good Luck",David Strathairn,0,2006,7.5,11/4/05,83,93,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1949,57,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,The Last King of Scotland,Forest Whitaker,1,2007,7.7,1/19/07,89,87,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1961,46,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,R,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,3,4,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,Blood Diamond,Leonardo DiCaprio,0,2007,8,12/8/06,90,62,5,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,1974,33,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,R,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,Half Nelson,Ryan Gosling,0,2007,7.2,9/22/06,83,90,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1980,27,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,Venus,Peter O'Toole,0,2007,7.1,2/16/07,74,89,1,1,0,0,0,1,0,0,0,1,0,0,0,7,0,1,0,0,1932,75,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,R,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,The Pursuit of Happyness,Will Smith,0,2007,8,12/15/06,87,67,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1968,39,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PG-13,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,There Will Be Blood,Daniel Day-Lewis,1,2008,8.1,1/25/08,86,91,8,1,0,0,0,1,1,0,0,1,1,0,0,3,1,1,1,1,1957,51,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,Michael Clayton,George Clooney,0,2008,7.3,10/12/07,69,90,7,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1961,47,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,Sweeney Todd: The Demon Barber of Fleet Street,Johnny Depp,0,2008,7.4,12/21/07,81,86,0,0,0,0,1,0,0,1,1,0,0,0,0,2,0,1,0,0,1963,45,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,In the Valley of Elah,Tommy Lee Jones,0,2008,7.2,9/28/07,77,73,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,0,1946,62,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
