budget,original_title,release_date,revenue,title,year_film,year_ceremony,category,film,winner
55000000,Captain Phillips,2013-10-10,95000000.0,Captain Phillips,2013,2014,BEST PICTURE,Captain Phillips,False
20000000,12 Years a Slave,2013-10-18,187000000.0,12 Years a Slave,2013,2014,BEST PICTURE,12 Years a Slave,True
5000000,Dallas Buyers Club,2013-09-07,55198285.0,Dallas Buyers Club,2013,2014,BEST PICTURE,Dallas Buyers Club,False
12000000,Philomena,2013-11-01,100129872.0,Philomena,2013,2014,BEST PICTURE,Philomena,False
100000000,The Wolf of Wall Street,2013-12-25,392000694.0,The Wolf of Wall Street,2013,2014,BEST PICTURE,The Wolf of Wall Street,False
40000000,American Hustle,2013-12-12,251171807.0,American Hustle,2013,2014,BEST PICTURE,American Hustle,False
23000000,Her,2013-12-18,47351251.0,Her,2013,2014,BEST PICTURE,Her,False
30000000,The Grand Budapest Hotel,2014-02-26,174600318.0,The Grand Budapest Hotel,2014,2015,BEST PICTURE,The Grand Budapest Hotel,False
4000000,Boyhood,2014-06-05,44349000.0,Boyhood,2014,2015,BEST PICTURE,Boyhood,False
3300000,Whiplash,2014-10-10,13092000.0,Whiplash,2014,2015,BEST PICTURE,Whiplash,False
58800000,American Sniper,2014-12-11,542307423.0,American Sniper,2014,2015,BEST PICTURE,American Sniper,False
14000000,The Imitation Game,2014-11-14,233555708.0,The Imitation Game,2014,2015,BEST PICTURE,The Imitation Game,False
15000000,The Theory of Everything,2014-11-26,123726688.0,The Theory of Everything,2014,2015,BEST PICTURE,The Theory of Everything,False
20000000,Selma,2014-12-25,66787908.0,Selma,2014,2015,BEST PICTURE,Selma,False
150000000,Mad Max: Fury Road,2015-05-13,378858340.0,Mad Max: Fury Road,2015,2016,BEST PICTURE,Mad Max: Fury Road,False
2763806,Roma,2004-04-15,0.0,Roma,2018,2019,BEST PICTURE,Roma,False
11000000,Brooklyn,2015-10-20,62076141.0,Brooklyn,2015,2016,BEST PICTURE,Brooklyn,False
10000000,Vice,2015-01-16,0.0,Vice,2018,2019,BEST PICTURE,Vice,False
108000000,The Martian,2015-09-30,630161890.0,The Martian,2015,2016,BEST PICTURE,The Martian,False
135000000,The Revenant,2015-12-25,532950503.0,The Revenant,2015,2016,BEST PICTURE,The Revenant,False
6000000,Room,2015-10-16,35401758.0,Room,2015,2016,BEST PICTURE,Room,False
20000000,Spotlight,2015-11-06,88346473.0,Spotlight,2015,2016,BEST PICTURE,Spotlight,True
40000000,Bridge of Spies,2015-10-15,165478348.0,Bridge of Spies,2015,2016,BEST PICTURE,Bridge of Spies,False
0,Don't Look Up,2009-09-24,0.0,Don't Look Up,2021,2022,BEST PICTURE,Don't Look Up,False
28000000,The Big Short,2015-12-11,133346506.0,The Big Short,2015,2016,BEST PICTURE,The Big Short,False
0,Room,2005-04-01,0.0,Room,2015,2016,BEST PICTURE,Room,False
12000000,Hell or High Water,2016-08-12,37589296.0,Hell or High Water,2016,2017,BEST PICTURE,Hell or High Water,False
4000000,Moonlight,2016-10-21,65046687.0,Moonlight,2016,2017,BEST PICTURE,Moonlight,True
40000000,Hacksaw Ridge,2016-10-07,175302354.0,Hacksaw Ridge,2016,2017,BEST PICTURE,Hacksaw Ridge,False
47000000,Arrival,2016-11-10,203388186.0,Arrival,2016,2017,BEST PICTURE,Arrival,False
30000000,La La Land,2016-11-29,445435700.0,La La Land,2016,2017,BEST PICTURE,La La Land,False
9000000,Manchester by the Sea,2016-11-18,75026965.0,Manchester by the Sea,2016,2017,BEST PICTURE,Manchester by the Sea,False
12000000,Lion,2016-11-24,140302754.0,Lion,2016,2017,BEST PICTURE,Lion,False
0,Whiplash,2013-01-18,0.0,Whiplash,2014,2015,BEST PICTURE,Whiplash,False
25000000,Hidden Figures,2016-12-10,230698791.0,Hidden Figures,2016,2017,BEST PICTURE,Hidden Figures,False
24000000,Fences,2016-12-16,64414761.0,Fences,2016,2017,BEST PICTURE,Fences,False
5000000,Get Out,2017-02-24,252434250.0,Get Out,2017,2018,BEST PICTURE,Get Out,False
18500000,Chocolat,2016-02-03,0.0,Chocolat,2000,2001,BEST PICTURE,Chocolat,False
4696772,Call Me by Your Name,2017-10-27,0.0,Call Me by Your Name,2017,2018,BEST PICTURE,Call Me by Your Name,False
0,サイドウェイズ,2009-10-31,0.0,Sideways,2004,2005,BEST PICTURE,Sideways,False
100000000,Dunkirk,2017-07-19,519876949.0,Dunkirk,2017,2018,BEST PICTURE,Dunkirk,False
0,Get Out,2010-02-01,0.0,Get Out,2017,2018,BEST PICTURE,Get Out,False
